asof,collected_at_utc,ticker,target_end_date,eps_estimate,currency,proxy_weight
2026-09-04,2026-09-04T23:14:15+00:00,SPCX,2027-12-31,1.78186,USD,0.042470225947581
2026-09-04,2026-09-04T23:14:15+00:00,TSLA,2027-12-31,2.15858,USD,0.0304539943927686
2026-09-04,2026-09-04T23:14:15+00:00,TXN,2027-12-31,10.1005,USD,0.0051397721946909
2026-09-04,2026-09-04T23:14:15+00:00,WMT,2028-01-31,3.23097,USD,0.0185108132246796
2026-09-08,2026-09-08T23:36:00+00:00,AAPL,2027-09-30,9.56691,USD,0.1005549257608171
2026-09-08,2026-09-08T23:36:00+00:00,AMAT,2027-10-31,18.47185,USD,0.0081752843140287
2026-09-08,2026-09-08T23:36:00+00:00,AMD,2027-12-31,15.61176,USD,0.017989047205665
2026-09-08,2026-09-08T23:36:00+00:00,AMGN,2027-12-31,24.40753,USD,0.0046314443989212
2026-09-08,2026-09-08T23:36:00+00:00,AMZN,2027-12-31,10.49168,USD,0.0603934422051515
2026-09-08,2026-09-08T23:36:00+00:00,ARM,2028-03-31,3.06084,USD,0.0060859236244159
2026-09-08,2026-09-08T23:36:00+00:00,ASML,2027-12-31,51.71021,EUR,0.0147702013498473
2026-09-08,2026-09-08T23:36:00+00:00,AVGO,2027-10-31,19.37208,USD,0.0382057412021247
2026-09-08,2026-09-08T23:36:00+00:00,COST,2027-08-31,22.67209,USD,0.0087949721315441
2026-09-08,2026-09-08T23:36:00+00:00,CRWD,2028-01-31,1.6036,USD,0.0046856225326709
2026-09-08,2026-09-08T23:36:00+00:00,CSCO,2028-07-31,5.60226,USD,0.0093781870349551
2026-09-08,2026-09-08T23:36:00+00:00,GOOG,2027-12-31,14.85423,USD,0.0893707957449025
2026-09-08,2026-09-08T23:36:00+00:00,GOOGL,2027-12-31,14.86428,USD,0.0901648896739354
2026-09-08,2026-09-08T23:36:00+00:00,INTC,2027-12-31,2.04217,USD,0.0120326621273027
2026-09-08,2026-09-08T23:36:00+00:00,KLAC,2028-06-30,6.68948,USD,0.0053799112960465
2026-09-08,2026-09-08T23:36:00+00:00,LIN,2027-12-31,18.24765,USD,0.0047045154509692
2026-09-08,2026-09-08T23:36:00+00:00,LRCX,2028-06-30,11.57261,USD,0.0087362023085635
2026-09-08,2026-09-08T23:36:00+00:00,META,2027-12-31,33.94621,USD,0.0340525754821083
2026-09-08,2026-09-08T23:36:00+00:00,MSFT,2028-06-30,23.57328,USD,0.0799181972649996
2026-09-08,2026-09-08T23:36:00+00:00,MU,2027-08-31,155.02524,USD,0.0246145766759463
2026-09-08,2026-09-08T23:36:00+00:00,NFLX,2027-12-31,3.81626,USD,0.0069651466694241
2026-09-08,2026-09-08T23:36:00+00:00,NVDA,2028-01-31,15.51906,USD,0.1187645344738631
2026-09-08,2026-09-08T23:36:00+00:00,PANW,2027-07-31,2.27939,USD,0.0059840617189688
2026-09-08,2026-09-08T23:36:00+00:00,PLTR,2027-12-31,2.32597,USD,0.008916887980774
2026-09-08,2026-09-08T23:36:00+00:00,SNDK,2028-06-30,264.72162,USD,0.0055447124125329
2026-09-08,2026-09-08T23:36:00+00:00,SPCX,2027-12-31,1.78186,USD,0.0440790137887717
2026-09-08,2026-09-08T23:36:00+00:00,STX,2028-06-30,55.3714,USD,0.0044731259249735
2026-09-08,2026-09-08T23:36:00+00:00,TSLA,2027-12-31,2.15858,USD,0.0316824129732624
2026-09-08,2026-09-08T23:36:00+00:00,TXN,2027-12-31,10.1005,USD,0.005152150213719
2026-09-08,2026-09-08T23:36:00+00:00,WMT,2028-01-31,3.23097,USD,0.0183325680684745
